test,Acceptable if,equation,parameter,coefficient,classical_std_error,classical_p_value,hc3_std_error,hc3_p_value,hac_newey_west_std_error,hac_newey_west_p_value,classical_significant_at_5pct,hc3_significant_at_5pct,hac_significant_at_5pct,significance_changed_hc3,significance_changed_hac
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L2.M2_GROWTH,0.02560258643121264,0.06281029719311854,0.6838021890336151,0.1081779277919084,0.8130496427935028,0.0888827031280005,0.7734786488081354,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L3.INF,0.14282351625322526,0.09946199007823242,0.15190157248403785,0.10515387592907442,0.17525948537764383,0.1056141501951018,0.17714295706525685,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L3.UNRATE,0.015115528224082936,0.07353622595970194,0.8372595921742465,0.22776675415997658,0.9471256533924902,0.07395688694431114,0.8381723574259233,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L3.INDPRO_GROWTH,-0.04315101092000071,0.03242594991079531,0.18413085072408075,0.04213317911886135,0.3064642026294982,0.028962156693088766,0.1371433283012915,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L3.M2_GROWTH,0.24265750876801065,0.0642452711325722,0.00018626555116025106,0.061938929385372224,0.00010740598523649573,0.05995194523320543,6.367514078863114e-05,True,True,True,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L4.INF,-0.00025008406749627357,0.09028070292676416,0.9977913741565358,0.08666132720364766,0.9976991320318149,0.06839213416466906,0.997084517010586,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L4.UNRATE,0.14041083305823798,0.06182749642799936,0.023749866519839256,0.13174969146015006,0.28727192898189285,0.055095289421710894,0.011242464949184313,True,False,True,True,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L4.INDPRO_GROWTH,0.06592054531744727,0.022425977028202742,0.0035048121882938275,0.027618678879024833,0.017522757973493286,0.015633030894567475,3.155265477849457e-05,True,True,True,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L4.M2_GROWTH,-0.03248595812988435,0.05660898308330353,0.566425121679609,0.08688053857242045,0.7086924900698481,0.053942689543340666,0.5474081336556593,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,FEDFUNDS,-0.0055013232490813,0.012997309989977668,0.6723594697903795,0.01405919189648973,0.6958142764555757,0.014749771954035994,0.7093901795781581,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,SENTIMENT_CHANGE,-0.027186034247073106,0.0051579083562448965,2.3746539297774067e-07,0.012114655178673182,0.025449429449654636,0.013560508208952118,0.045750385281621515,True,True,True,False,False
